AREA_NAME	SIGUNGU
서울 강동구 천호역	송파구
서울시청	중구
시청역_2	중구
동대문시장_1	중구
서대문구 서대문역_1	종로구
종각역 젊음의 거리	종로구
종각역	종로구
서울 종로구 광화문역_1	종로구
서울 종로구 종로3가역_1	종로구
백운시장	도봉구
쌍문역골목시장	도봉구
방학동도깨비시장	도봉구
공릉동도깨비시장	노원구
상계시장	노원구
상계중앙시장	노원구
경창시장	양천구
신월3동골목시장	양천구
신곡종합시장	양천구
신월6동골목시장	양천구
명일골목시장	강동구
광나루로24길	광진구
광나루로36길	광진구
광나루로37길	광진구
광나루로40길	광진구
퇴계로8길	중구
퇴계로90길	중구
녹사평대로11길	용산구
녹사평대로26길	용산구
영등포역_3	영등포구
여의도 시범아파트앞	영등포구
서울 강남구 역삼역_2	강남구
서울 광진구 구의역	광진구
건대입구역	광진구
서울 광진구 건대입구역_1	광진구
서울 강동구 천호역_2	강동구
서울 마포구 마포역_1	마포구
장한평역_1	동대문구
서울 강서구 발산역	강서구
왕십리역_2	성동구
시청역_1	중구
미아사거리_2	성북구
서울 은평구 불광역_1	은평구
동대문시장_2	종로구
서울 종로구 동대문역_1	종로구
서울 은평구 불광역_2	은평구
서울 은평구 불광역_3	은평구
장위전통시장	성북구
번동시장	성북구
새석관시장	성북구
석관시장	성북구
석관황금시장	성북구
번동북부골목시장	강북구
수유전통시장	강북구
밤나무골시장	성북구
우이시장	강북구
강북종합시장	강북구
수유중앙시장	강북구
녹사평대로32길	용산구
녹사평대로40나길	용산구
녹사평대로46길	용산구
대사관로34길	용산구
긴고랑로20길	광진구
장한로5길	동대문구
장한로8길	동대문구
전농로29길	동대문구
장한평역_2	동대문구
서울 강서구 송정역	강서구
남영역	용산구
서울 용산구 숙대입구역	용산구
공덕역	마포구
서울 마포구 공덕역_2	마포구
어린이대공원역	광진구
서울 강북구 미아삼거리역_1	강북구
서울 종로구 동대문역_2	종로구
장안동사거리	동대문구
동묘앞역	종로구
서울 종로구 광화문역_2	종로구
서울 동대문구 신설동역_1	동대문구
신설동역	종로구
장미원골목시장	강북구
수유북부시장	강북구
동북시장	강북구
방천골목시장	강북구
숭인시장	강북구
솔샘시장	강북구
화곡중앙골목시장	강서구
대원종합시장	강서구
남부골목시장	강서구
영동전통시장	강남구
논현종합시장	강남구
청담삼익시장	강남구
전농로3길	동대문구
전농로4길	동대문구
제기로21길	동대문구
돌곶이로27길	성북구
돌곶이로28길	성북구
돌곶이로41길	성북구
서울 강동구 명일역	강동구
등촌역	양천구
서울 중구 약수역_1	중구
서울 중구 약수역_2	중구
서울 마포구 홍대입구역_1	마포구
강서구청	강서구
신촌역	마포구
왕십리역_1	성동구
서울 종로구 종로5가역_2	종로구
종로구청	종로구
서울 종로구 종로5가역_3	종로구
서울 종로구 종로5가역_4	종로구
인사동	종로구
홍익대학교 주변	마포구
암사종합시장	강동구
양지골목시장	강동구
고분다리골목시장	강동구
동서울시장	강동구
천호시장	강동구
성내골목시장	강동구
둔촌역전통시장	강동구
정릉아리랑시장	성북구
고덕전통시장	강동구
정릉시장	성북구
길음시장	성북구
돌곶이로8길	성북구
동소문로13길	성북구
동소문로15길	성북구
동소문로26가길	성북구
동소문로2길	성북구
동소문로6길	성북구
증산로5길	은평구
증산로9길	은평구
서울 중구 충무로역_1	중구
서울 중구 충무로역_2	중구
북창동	중구
서울 중구 신당역_1	중구
롯데백화점	중구
명동거리	중구
서울 동대문구 신설동역_2	동대문구
서울 종로구 종로3가역_2	종로구
서울 마포구 홍대입구역_2	마포구
시흥대로36길	금천구
신림로65길	관악구
북촌로5나길	종로구
삼청로5길	종로구
서달로10길	동작구
서달로14길	동작구
서달로15길	동작구
서달로8가길	동작구
도봉로99길	강북구
삼각산로28길	강북구
동호로20길	중구
동호로8길	중구
성수이로7길	성동구
성수일로6길	성동구
답십리로64길	동대문구
고산자로6길	성동구
금호산2길	성동구
여의대방로43나길	영등포구
신림동길	관악구
양재대로101길	강동구
양재대로116길	강동구
양재대로124길	강동구
양재대로133길	강동구
학동로56길	강남구
양재대로95길	강동구
양재대로96길	강동구
올림픽로48길	강동구
올림픽로71길	강동구
올림픽로77길	강동구
올림픽로78길	강동구
올림픽로80길	강동구
삼양로20길	강북구
화랑로32길	성북구
화랑로40길	성북구
상계로12길	노원구
상계로1길	노원구
마장로39길	성동구
천호대로129길	광진구
여의대방로46길	동작구
동일로163길	중랑구
망우로68길	중랑구
망우로73길	중랑구
면목로21길	중랑구
면목로33길	중랑구
면목로45길	중랑구
면목로56길	중랑구
양재대로91길	강동구
강서로5가길	강서구
강남대로8길	서초구
부일로1길	구로구
새말로18길	구로구
신도림로13길	구로구
오류로8길	구로구
올림픽로98길	강동구
중앙로1길	구로구
사당로26길	동작구
시흥대로68길	금천구
조원로10길	관악구
목동동로12길	양천구
목동동로8길	양천구
목동로19길	양천구
능동로3길	광진구
능동로4길	광진구
동일로18길	광진구
동일로24길	광진구
뚝섬로23길	광진구
영신로9길	영등포구
강서로15길	강서구
강서로17가길	강서구
강서로18길	강서구
한천로40길	동대문구
경희대로3길	동대문구
경희대로4길	동대문구
난계로30길	동대문구
창신2길	종로구
우마길	구로구
개봉로3길	구로구
목동남로4길	양천구
양화로1길	마포구
양화진길	마포구
와우산로29가길	마포구
와우산로29길	마포구
와우산로3길	마포구
영등포로62길	영등포구
월드컵로25길	마포구
월드컵로36길	마포구
월드컵로7길	마포구
월드컵로8길	마포구
당산로31길	영등포구
당산로37길	영등포구
조원로18길	관악구
우사단로10길	용산구
우사단로14길	용산구
난계로11길	중구
난계로21길	중구
성대로1길	동작구
서초대로23길	서초구
면목로49길	중랑구
구로동로15길	구로구
구로동로28길	구로구
구로동로38길	구로구
구로동로41길	구로구
구로동로42길	구로구
서초대로25길	서초구
양지길	관악구
월드컵로10길	마포구
월드컵로11길	마포구
국회대로7길	강서구
신림로11길	관악구
신림로28길	관악구
신림로38길	관악구
신림로48길	관악구
관악로10길	관악구
관악로14길	관악구
학동로6길	강남구
학동로77길	강남구
개봉로20길	구로구
강남개포시장	강남구
화곡본동시장	강서구
까치산시장	강서구
송화골목시장	강서구
중부시장	관악구
방신전통시장	강서구
공항시장	강서구
독산동 우시장	금천구
남문시장	금천구
푸른터시장	금천구
대명시장	금천구
현대시장	금천구
박미시장	금천구
은행나무시장	금천구
강남시장_강남	강남구
녹번시장	은평구
신응암시장	은평구
대림골목시장	은평구
새마을시장	송파구
노량진중앙시장	동작구
본동인정시장	동작구
신노량진시장	동작구
강남시장_동작	동작구
상도전통시장	동작구
영도시장	동작구
성대시장	동작구
증산종합시장	은평구
수일시장	은평구
관악신사시장	관악구
신림종합시장	관악구
강남골목시장	관악구
신림중앙시장	관악구
삼성동시장	관악구
신신림시장	관악구
미성동도깨비시장	관악구
우림시장	관악구
영진시장A동	영등포구
우리시장	영등포구
대림중앙시장	영등포구
구로시장	구로구
남구로시장	구로구
가리봉시장	구로구
고척근린시장	구로구
개봉중앙시장	구로구
오류시장	구로구
풍납시장	송파구
마천시장	송파구
방이시장	송파구
석촌시장	송파구
목4동시장	양천구
신영시장	양천구
월정로시장	양천구
상도4동도깨비골목시장	동작구
흑석시장	동작구
남성사계시장	동작구
사당시장	동작구
남부종합시장	서초구
양재시장	서초구
등마루시장	강서구
